verdict,item_id,item_name,product_link,product_link_status,dead_affiliate_links,live_affiliate_links,projects
only link is a dead affiliate code,motion.8mm-t8x8-trapezoidal-acme-lead-screw-200mm-8mm-lead,8mm T8x8 Trapezoidal ACME Lead Screw 200mm (8mm lead),https://s.click.aliexpress.com/e/_d61Z1GI,no,https://s.click.aliexpress.com/e/_d61Z1GI,,voron-0
only link is a dead affiliate code,electronics.bigtreetech-skr-mini-e3-v1-2-or-v2,Bigtreetech SKR mini E3 (v1.2 or v2),https://s.click.aliexpress.com/e/_d6jtsAC,no,https://s.click.aliexpress.com/e/_d6jtsAC,,voron-0
only link is a dead affiliate code,misc.bowden-tube-4mm-od-2mm-id,"Bowden Tube (4mm OD, 2mm ID)",https://s.click.aliexpress.com/e/5OVtqbtq,no,https://s.click.aliexpress.com/e/5OVtqbtq,,voron-switchwire
only link is a dead affiliate code,misc.bowden-tube-4mm-od-3mm-id-optional-for-reverse-bowden,"Bowden Tube (4mm OD, 3mm ID) optional for reverse bowden",https://s.click.aliexpress.com/e/5OVtqbtq,no,https://s.click.aliexpress.com/e/5OVtqbtq,,voron-switchwire
only link is a dead affiliate code,bowden.bowden-tubing-4mmod-2mmid-1-meter,Bowden Tubing 4mmOD 2mmID (1 meter),https://s.click.aliexpress.com/e/_dWCbUww,no,https://s.click.aliexpress.com/e/_dWCbUww,,voron-0
only link is a dead affiliate code,extruder.complete-bmg-extruder-clone,Complete BMG Extruder Clone,https://s.click.aliexpress.com/e/_d8khc8c,no,https://s.click.aliexpress.com/e/_d8khc8c,,voron-0
only link is a dead affiliate code,electronics.dc-dc-psu-buck-converter-24v-to-5v,DC/DC PSU/buck converter - 24V to 5V,https://s.click.aliexpress.com/e/_dTqN7aZ,no,https://s.click.aliexpress.com/e/_dTqN7aZ,,voron-0.2 voron-0 voron-0.1
only link is a dead affiliate code,motion.f623-rs-bearing,F623-RS Bearing,https://s.click.aliexpress.com/e/_d8ZR3hm,no,https://s.click.aliexpress.com/e/_d8ZR3hm,,voron-0
only link is a dead affiliate code,cables.jst-connectors-2pin-3pin-4pin,"JST connectors (2pin,3pin,4pin)",https://s.click.aliexpress.com/e/_dXhqMto,no,https://s.click.aliexpress.com/e/_dXhqMto,,voron-0
only link is a dead affiliate code,cables.jst-xh-female-pin,JST-XH Female Pin,https://s.click.aliexpress.com/e/_dZtuHpY,no,https://s.click.aliexpress.com/e/_dZtuHpY,,voron-switchwire
only link is a dead affiliate code,hardware.m2-nut,M2 Nut,https://s.click.aliexpress.com/e/_d8iqkZ0,no,https://s.click.aliexpress.com/e/_d8iqkZ0,,voron-0
only link is a dead affiliate code,fasteners.m2x8-self-tapping-screw-for-plastics,M2x8 Self Tapping Screw for Plastics,https://s.click.aliexpress.com/e/3m3KoEoY,no,https://s.click.aliexpress.com/e/3m3KoEoY,,voron-2.2
only link is a dead affiliate code,hardware.m3x25-bhcs,M3x25 BHCS,https://s.click.aliexpress.com/e/_dYUPJWe,no,https://s.click.aliexpress.com/e/_dYUPJWe,,voron-0.2 voron-0 voron-0.1
only link is a dead affiliate code,fasteners.m5-hexnut,M5 Hexnut,https://s.click.aliexpress.com/e/_dTGSCls,no,https://s.click.aliexpress.com/e/_dTGSCls,,voron-0
only link is a dead affiliate code,frame.makerbeam-xl-15x15-200mm,Makerbeam XL 15x15 200mm,https://s.click.aliexpress.com/e/_A6swSt,no,https://s.click.aliexpress.com/e/_A6swSt,,voron-0.2 voron-0.1
only link is a dead affiliate code,frame.makerbeam-xl-15x15-200mm,Makerbeam XL 15x15 200mm,https://s.click.aliexpress.com/e/_dWk7zQ2,no,https://s.click.aliexpress.com/e/_dWk7zQ2,,voron-0
only link is a dead affiliate code,hardware.makerbeam-xl-m3-t-nut,Makerbeam XL M3 t-nut,https://s.click.aliexpress.com/e/_dWBgQGQ,no,https://s.click.aliexpress.com/e/_dWBgQGQ,,voron-0.2 voron-0 voron-0.1
only link is a dead affiliate code,misc.metal-x-carriage-optional,Metal X Carriage (OPTIONAL),https://s.click.aliexpress.com/e/_9ih40f,no,https://s.click.aliexpress.com/e/_9ih40f,,voron-0.1
only link is a dead affiliate code,electronics.nema17-stepper-motor-34mm-max-with-integrated-lead-screw-200mm-t8x8,NEMA17 Stepper Motor (34mm max) with integrated lead screw 200mm T8x8,https://s.click.aliexpress.com/e/_9JMcTz,no,https://s.click.aliexpress.com/e/_9JMcTz,,voron-0.1
only link is a dead affiliate code,electronics.nema17-stepper-motor-with-integrated-lead-screw-200mm-t8x8,NEMA17 Stepper Motor with integrated lead screw 200mm T8x8,https://s.click.aliexpress.com/e/_9JMcTz,no,https://s.click.aliexpress.com/e/_9JMcTz,,voron-0.2
only link is a dead affiliate code,electronics.nylon-pcb-standoff-kit-m3,Nylon PCB Standoff Kit (M3),https://s.click.aliexpress.com/e/_dVf8kck,no,https://s.click.aliexpress.com/e/_dVf8kck,,voron-0
only link is a dead affiliate code,electronics.omron-mouse-button-micro-switch,Omron Mouse Button - Micro Switch,https://s.click.aliexpress.com/e/_d6Ra2OL,no,https://s.click.aliexpress.com/e/_d6Ra2OL,,voron-0
only link is a dead affiliate code,electronics.omron-tl-q5mc2-npn-nc-5mm-sense,"Omron TL-Q5MC2 - NPN, NC, 5mm Sense",https://s.click.aliexpress.com/e/_DBxCtJf,no,https://s.click.aliexpress.com/e/_DBxCtJf,,optional-parts
only link is a dead affiliate code,cables.ptfe-wire-20gauge-10ft,PTFE Wire 20gauge 10ft,https://s.click.aliexpress.com/e/_AfncFO,no,https://s.click.aliexpress.com/e/_AfncFO,,voron-0.2 voron-0.1
only link is a dead affiliate code,cables.ptfe-wire-22gauge-100ft-get-5m-of-6-colors-for-30m-total-tin-plated,"PTFE Wire 22gauge 100ft (get 5m of 6 colors for 30m total, tin plated)",https://s.click.aliexpress.com/e/_AfncFO,no,https://s.click.aliexpress.com/e/_AfncFO,,voron-0.2 voron-0.1
only link is a dead affiliate code,cables.silicon-wire-24gauge-100ft-individual-strand-length-total-example-25ft-of-4p-wire-100ft,Silicon Wire 24gauge 100ft (individual strand length total [example: 25ft of 4p wire=100ft]),https://s.click.aliexpress.com/e/_dUm7jDS,no,https://s.click.aliexpress.com/e/_dUm7jDS,,voron-0
only link is a dead affiliate code,electronics.skr-mini-e3-v2,SKR Mini E3 V2,https://s.click.aliexpress.com/e/_d6DRiEC,no,https://s.click.aliexpress.com/e/_d6DRiEC,,voron-switchwire
only link is a dead affiliate code,motion.t8-flange-nut-8mm-lead-anti-backlash-prefered-see-note-section,T8 flange Nut 8mm Lead --anti-backlash prefered-- (SEE NOTE SECTION),https://s.click.aliexpress.com/e/_d7v3OiO,no,https://s.click.aliexpress.com/e/_d7v3OiO,,voron-0.2 voron-0 voron-0.1
only link is a dead affiliate code,cables.thermal-fuse-125c,Thermal Fuse 125C,https://s.click.aliexpress.com/e/_dU6uGpq,no,https://s.click.aliexpress.com/e/_dU6uGpq,,voron-0 voron-0.1
only link is a dead affiliate code,cables.thermal-fuse-150c,Thermal Fuse 150C,https://s.click.aliexpress.com/e/_dU6uGpq,no,https://s.click.aliexpress.com/e/_dU6uGpq,,voron-0.2
only link is a dead affiliate code,electronics.vhb-tape-20mm-or-so-is-good,VHB tape (20mm or so is good),https://s.click.aliexpress.com/e/_9viGyF,no,https://s.click.aliexpress.com/e/_9viGyF,,voron-0.1
only link is a dead affiliate code,kits.voron-v0-1-kit-fysetc,Voron V0.1 Kit - FYSETC,https://s.click.aliexpress.com/e/_ADOH0H,no,https://s.click.aliexpress.com/e/_ADOH0H,,voron-0.2 voron-0.1
only link is a dead affiliate code,kits.voron-v0-1-kit-siboor,Voron V0.1 Kit - SIBOOR,https://s.click.aliexpress.com/e/_Dl1IOoF,no,https://s.click.aliexpress.com/e/_Dl1IOoF,,voron-0.2
both dead,cables.10x11mm-1-meter-with-3-end-sets-3-fixed-end-3-free-end-r18-18mm-radius,"10x11mm - 1 meter with 3 end sets (3 fixed end, 3 free end), R18 (18mm radius)",https://www.aliexpress.com/item/33000014666.html,no,https://s.click.aliexpress.com/e/_AccRIc,,voron-trident
both dead,fasteners.10x16x0-2-shim-ring,10x16x0.2 Shim Ring,https://www.aliexpress.com/item/33009726442.html,no,https://s.click.aliexpress.com/e/DjCBXNJi,,voron-2.2
both dead,controller.2-pin-kk-connector-housing,2 Pin KK Connector Housing,https://www.aliexpress.com/item/32699021641.html,no,https://s.click.aliexpress.com/e/rj7xkF04,,optional-parts
both dead,cables.22awg-ptfe-wire-250ft-total,22AWG PTFE wire (250ft total),https://www.aliexpress.com/item/4000703245035.html,no,https://s.click.aliexpress.com/e/_AO1X1S,,voron-2.4
both dead,misc.6mm-x-3mm-round-neodymium-magnets,6mm x 3mm Round Neodymium Magnets,https://www.aliexpress.com/item/1005001418808468.html,no,https://s.click.aliexpress.com/e/_AWamq8,,voron-2.4 voron-trident voron-0
both dead,controller.a4988-stepper-motor-driver,A4988 Stepper Motor Driver,https://www.aliexpress.com/item/32848965946.html,no,https://s.click.aliexpress.com/e/dwLwtM7O | https://s.click.aliexpress.com/e/Dfsbf1zA,,voron-1.6.2 voron-2.2
both dead,controller.arduino-mega-2560,Arduino Mega 2560,https://www.aliexpress.com/item/32913167217.html,no,https://s.click.aliexpress.com/e/lmwjkE8o | https://s.click.aliexpress.com/e/nmBEDWOM,,voron-1.6.2 voron-2.2
both dead,misc.bowden-tube,Bowden Tube,https://www.aliexpress.com/item/32433845259.html,no,https://s.click.aliexpress.com/e/lDGrz3WY | https://s.click.aliexpress.com/e/5OVtqbtq,,mobius-3.1 voron-2.2
both dead,misc.bowden-tube,Bowden Tube,https://www.aliexpress.com/item/32811240720.html,no,https://s.click.aliexpress.com/e/_97zgoG | https://s.click.aliexpress.com/e/24kCsx6s | https://s.click.aliexpress.com/e/D7QNRBCk,,voron-trident mobius-3.1 voron-1.8 voron-2.2
both dead,misc.bowden-tube-4mm-od-2mm-id,"Bowden Tube (4mm OD, 2mm ID)",https://www.aliexpress.com/item/32811240720.html,no,https://s.click.aliexpress.com/e/D7QNRBCk,,voron-switchwire
both dead,misc.bowden-tube-4mm-od-3mm-id-optional-for-reverse-bowden,"Bowden Tube (4mm OD, 3mm ID) optional for reverse bowden",https://www.aliexpress.com/item/32811240720.html,no,https://s.click.aliexpress.com/e/D7QNRBCk,,voron-switchwire
both dead,misc.bowden-tube-4mm-od-id-depends-on-extruder-type,"Bowden Tube (4mm OD, ID depends on extruder type)",https://www.aliexpress.com/item/32811240720.html,no,https://s.click.aliexpress.com/e/D7QNRBCk,,voron-2.4
both dead,extruder.complete-bmg-extruder-clone,Complete BMG Extruder Clone,https://www.aliexpress.com/item/32917029058.html,no,https://s.click.aliexpress.com/e/_9u8JFO,,stealthburner afterburner
both dead,controller.duet-2-duex5,Duet 2 - Duex5,https://www.aliexpress.com/item/32888952843.html,no,https://s.click.aliexpress.com/e/2xNW6GwU,,optional-parts
both dead,controller.duet-2-pt100-daughter-board,Duet 2 - PT100 Daughter Board,https://www.aliexpress.com/item/32880076289.html,no,https://s.click.aliexpress.com/e/lYwkoQrW,,optional-parts
both dead,controller.duet-2-wifi,Duet 2 Wifi,https://www.aliexpress.com/item/32880072214.html,no,https://s.click.aliexpress.com/e/45PZubCc,,optional-parts
both dead,controller.duet-maestro,Duet Maestro,https://www.aliexpress.com/item/32947221310.html,no,https://s.click.aliexpress.com/e/o13WMHVe,,optional-parts
both dead,motion.gt2-20t-6mm-wide-pulley-5mm-bore,GT2 20T (6mm wide) Pulley (5mm bore),https://www.aliexpress.com/item/1730027940.html,no,https://s.click.aliexpress.com/e/_A1zOk4 | https://s.click.aliexpress.com/e/_d6r4LYv,,voron-trident voron-1.8
both dead,motion.gt2-belt-loop-6mm-wide-110mm,GT2 Belt Loop (6mm wide) - 110mm,https://www.aliexpress.com/item/4000033992832.html,no,https://s.click.aliexpress.com/e/FoFREgKU,,voron-2.2
both dead,motion.gt2-open-belt-ll-2gt-6-6mm-wide-length-dependant-on-config,GT2 Open Belt LL-2GT-6 (6mm wide) - Length Dependant on Config,https://www.aliexpress.com/item/32991919681.html,no,https://s.click.aliexpress.com/e/d6RFuj4y,,voron-2.2
both dead,buildplate.high-temperature-magnet,High Temperature Magnet,https://www.aliexpress.com/item/33015063641.html,no,https://s.click.aliexpress.com/e/d0f9GzOY,,optional-parts
both dead,motion.integrated-lead-screw-stepper-motors-300mm-2-4-8mm-pitch,"Integrated Lead Screw/Stepper Motors - 300mm, 2/4/8mm pitch",https://www.aliexpress.com/item/32749869891.html,no,https://s.click.aliexpress.com/e/_A0sKDI | https://s.click.aliexpress.com/e/_d6GRFTr,,voron-trident voron-1.8
both dead,cables.jst-xh-female-pin,JST-XH Female Pin,https://www.aliexpress.com/item/32963843207.html,no,https://s.click.aliexpress.com/e/_dZtuHpY,,voron-2.4 voron-trident
both dead,fasteners.m2-x-12-or-13mm-plastite-self-tapping-screw,M2 x 12 or 13mm Plastite Self Tapping Screw,https://www.aliexpress.com/item/32748428213.html,no,https://s.click.aliexpress.com/e/nBMZN9KC,,mobius-3.1
both dead,fasteners.m2x10-self-tapping-screw-for-plastics,M2x10 Self Tapping Screw for Plastics,https://www.aliexpress.com/item/32748428213.html,no,https://s.click.aliexpress.com/e/lZCUQlFa | https://s.click.aliexpress.com/e/_9vwNdi,,voron-2.4 voron-trident voron-switchwire stealthburner
both dead,fasteners.m2x12-self-tapping-screw-for-plastics,M2x12 Self Tapping Screw for Plastics,https://www.aliexpress.com/item/32748428213.html,no,https://s.click.aliexpress.com/e/lZCUQlFa,,voron-1.8 voron-2.2
both dead,fasteners.m3-hammer-head-t-nuts,M3 Hammer Head T-Nuts,https://www.aliexpress.com/item/33023248880.html,no,https://s.click.aliexpress.com/e/_dSjU9WW | https://s.click.aliexpress.com/e/_9zdkMk,,voron-2.4 voron-trident
both dead,misc.mosquito-hotend-sock,Mosquito Hotend Sock,https://www.aliexpress.com/item/4000172934426.html,no,https://s.click.aliexpress.com/e/M8p5G5AY,,optional-parts
both dead,electronics.nema17-motor-with-leadscrew-17ls19-1684e-300g,NEMA17 Motor with Leadscrew (17LS19-1684E-300G),https://www.aliexpress.com/item/32915193041.html,no,https://s.click.aliexpress.com/e/dPyoa9Vq,,voron-1.6.2
both dead,misc.nozzle-scrubber-brush,Nozzle Scrubber Brush,https://www.aliexpress.com/item/32970253811.html,no,https://s.click.aliexpress.com/e/kptqUO68,,optional-parts
both dead,electronics.pl-08n-inductive-probe,PL-08N Inductive Probe,https://www.aliexpress.com/item/32803870919.html,no,https://s.click.aliexpress.com/e/kff2VwTW | https://s.click.aliexpress.com/e/FIzMxqrQ,,voron-1.8 voron-1.6.2 voron-2.2
both dead,controller.reprap-full-graphics-display,RepRap Full Graphics Display,https://www.aliexpress.com/item/32851642822.html,no,https://s.click.aliexpress.com/e/pqgskdNI | https://s.click.aliexpress.com/e/nUxz35FK,,voron-1.6.2 voron-2.2
both dead,controller.skr-1-4,SKR 1.4,https://www.aliexpress.com/item/4000474140713.html,no,https://s.click.aliexpress.com/e/_dZMQYRT | https://s.click.aliexpress.com/e/_d7JJtiz,,voron-1.8
both dead,buildplate.spring-steel-bed-kit-with-pei-and-magnet,Spring Steel Bed Kit with PEI and Magnet,https://www.aliexpress.com/item/32990786969.html,no,https://s.click.aliexpress.com/e/DxeGsT3E | https://s.click.aliexpress.com/e/rmMnnj2o | https://s.click.aliexpress.com/e/KaNFsCWk,,optional-parts
both dead,buildplate.spring-steel-bed-kit-with-pei-and-magnet,Spring Steel Bed Kit with PEI and Magnet,https://www.aliexpress.com/item/33057100422.html,no,https://s.click.aliexpress.com/e/Ert8fuDw,https://s.click.aliexpress.com/e/4P2hETlQ,optional-parts
both dead,electronics.thermal-fuse,Thermal Fuse,https://www.aliexpress.com/item/32885492280.html,no,https://s.click.aliexpress.com/e/MCR810Q4 | https://s.click.aliexpress.com/e/_AkDKU4 | https://s.click.aliexpress.com/e/dvRGxOu0,,voron-2.4 voron-trident voron-1.8 voron-1.6.2 voron-2.2
